axis_id,threshold_method,ert_threshold,silhouette,balance,coherence,n_I,n_II,n_III,n_IV,n_total,n_empty_quads,has_all_quads,composite
abs_radgrad__species_site_znorm,mean,0,0.4661194052490377,0.9129008649846284,1,23,19,7,8,57,0,TRUE,0.7913670080833203
abs_radgrad__species_site_znorm,otsu,0.04268724101726923,0.4661194052490377,0.9129008649846284,1,23,19,7,8,57,0,TRUE,0.7913670080833203
abs_radgrad__species_site_znorm,gmm,0.15245447991044403,0.4661194052490377,0.9129008649846284,1,23,19,7,8,57,0,TRUE,0.7913670080833203
sd_x_abscma__product,otsu,39.76218159999999,0.4671995800473251,0.9098727746466464,1,18,24,7,8,57,0,TRUE,0.7909880466782253
cv_x_abscma__product_species_znorm,otsu,0.19244128090438903,0.48140123309092486,0.8899149938380798,1,27,15,9,6,57,0,TRUE,0.7909691800413436
cv_x_abscma__product_species_znorm,gmm,0.2569704911345898,0.48140123309092486,0.8899149938380798,1,27,15,9,6,57,0,TRUE,0.7909691800413436
gini_x_abscma__product,mean,0.06923451105263158,0.46843611541248115,0.9064726381299401,1,24,18,9,6,57,0,TRUE,0.7905707999268533
gini_x_abscma__product,median,0.06708772,0.46597612373072,0.9095007284679221,1,23,19,9,6,57,0,TRUE,0.7904668254227325
negmean_x_abscma__product,mean,-93.87482222807017,0.46449223402705464,0.9113120463360942,1,20,22,9,6,57,0,TRUE,0.7904002934934926
neg_mean__species_site_znorm,mean,-5.258951169277057e-17,0.47830493180905115,0.8918283794529875,1,23,19,11,4,57,0,TRUE,0.7903638209964148
neg_mean__species_site_znorm,otsu,0.06108040054390496,0.47830493180905115,0.8918283794529875,1,23,19,11,4,57,0,TRUE,0.7903638209964148
mean__species_site_znorm,mean,5.258951169277057e-17,0.47830493180905115,0.8918283794529875,1,19,23,4,11,57,0,TRUE,0.7903638209964148
mean__species_site_znorm,otsu,-0.06108040054390496,0.47830493180905115,0.8918283794529875,1,19,23,4,11,57,0,TRUE,0.7903638209964148
cma__lutz_species_site,gmm,-0.04933101297080532,0.4764876873682672,0.8933151303547862,1,15,27,8,7,57,0,TRUE,0.79009947316759
abs_cma__lutz_species_site,gmm,-0.04933101297080532,0.4764876873682672,0.8933151303547862,1,15,27,8,7,57,0,TRUE,0.79009947316759
gini_x_absradgrad__product,mean,57.36620212280702,0.4658179157677054,0.9064726381299401,1,24,18,9,6,57,0,TRUE,0.7896544300511819
cv_x_absradgrad__product,median,94.289008,0.47058102146946795,0.899544380182548,1,24,18,10,5,57,0,TRUE,0.7895894525599508
gini_x_negmean__product_species_znorm,median,0.1732003981652102,0.47037127565129794,0.899544380182548,1,24,18,10,5,57,0,TRUE,0.7895160415235912
sd__lutz_species_site,mean,1.3182762461709856,0.4615686629897108,0.9113120463360942,1,22,20,6,9,57,0,TRUE,0.7893770436304223
sd__lutz_species_site,otsu,3.397266666666697,0.4615686629897108,0.9113120463360942,1,22,20,6,9,57,0,TRUE,0.7893770436304223
cma__site_znorm,mean,7.011934892369409e-17,0.46187633345469997,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.7891249103708066
abs_cma__site_znorm,mean,7.011934892369409e-17,0.46187633345469997,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.7891249103708066
cv_x_absradgrad__product,mean,105.9850706491228,0.4673132478454404,0.9022136644250758,1,25,17,9,6,57,0,TRUE,0.7891130528521731
abs_radgrad__species_site_znorm,median,-0.062144787690066476,0.45833559459039697,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7890955038198391
gini__species_znorm,median,-0.11173117953340199,0.4687752447116034,0.899544380182548,1,24,18,10,5,57,0,TRUE,0.7889574306946981
cma__lutz_species,gmm,-0.0488208673095909,0.4724590083419296,0.8933151303547862,1,15,27,8,7,57,0,TRUE,0.7886894355083719
abs_cma__lutz_species,gmm,-0.0488208673095909,0.4724590083419296,0.8933151303547862,1,15,27,8,7,57,0,TRUE,0.7886894355083719
cv_x_abscma__product,mean,0.12896205210526315,0.46600401420334225,0.9022136644250758,1,25,17,9,6,57,0,TRUE,0.7886548210774388
cv_x_abscma__product,otsu,0.13362200360000007,0.46600401420334225,0.9022136644250758,1,25,17,9,6,57,0,TRUE,0.7886548210774388
cv_x_abscma__product,median,0.12364807000000001,0.46078947405997095,0.9095007284679221,1,23,19,9,6,57,0,TRUE,0.7886514980379703
median__species_site_znorm,median,-0.2415136084333694,0.47538275966402505,0.8888002891150057,1,18,24,4,11,57,0,TRUE,0.7885840381611601
sd__lutz_species,median,-6.023125000000022,0.45590307477057473,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7883948362492607
